Downregulated_miR,Significance,Coverage,Mean_Fold_change,Mean_Tumor_Reads_per_million,Mean_Normal_Reads_per_million
hsa-mir-1976,<0.001,63.7,23.9318722456771,4.63950251754386,156.095378625
hsa-mir-1306,<0.001,61.5,20.1284027507421,4.17806904545455,128.755254
hsa-mir-133a-2,<0.001,53.6,70.7102586952009,2.89966386458333,399.671972625
hsa-mir-149,<0.001,52,25.2155158877039,4.5410447311828,239.692284125
hsa-mir-133a-1,<0.001,49.7,107.597183528643,3.12559214606742,396.58920075
hsa-mir-1180,<0.001,49.2,32.4744051039637,4.08578672727273,161.0331725
hsa-mir-328,<0.001,28.5,65.0951831599324,5.5865281372549,656.6174505
hsa-mir-874,<0.001,24.6,23.7454383948515,4.75974354545454,127.194163375
hsa-mir-486-1,<0.001,11.2,143.579941733019,4.87210115,1927.194855875
hsa-mir-486-2,<0.001,10.6,141.573809069191,5.16016031578947,1937.223317125
