id	filename	md5	size	state
506569cc-0654-4da2-9e15-349abc638a9e	mirnas.quantification.txt	ba5ac80d017993030f8bbf6f4bf75c95	50213	live
3b4c5783-1683-423d-b227-6ea0bcee8a62	mirnas.quantification.txt	3759d86531b96ad400bc5b3a2907c24f	50405	live
48b6f97e-dc3a-4e2d-b754-9fb78182cd77	mirnas.quantification.txt	6d2afcbd4d7804cef580b4dac44a3a1e	50287	live
0fa73352-ac39-4751-afe5-83ad6f21db14	mirnas.quantification.txt	cf05458f1dd53958d819a58cf56b689e	50236	live
9c5b1fa8-35c9-48cc-b774-03e7967af6f6	mirnas.quantification.txt	c70753d1ae3d2777c18c9aa247a4c7cd	50354	live
f4bb18c1-57d2-4c10-bf46-aec8f6fa478b	mirnas.quantification.txt	54d0bbf54dd9c1914b3d0478632f2349	50144	live
7bf15532-4137-4dfc-ae0b-f99d40665f15	mirnas.quantification.txt	ffeba0a4122508c80bf40cd7254e8953	50360	live
7549988a-65d3-463c-8f16-5d040797982b	mirnas.quantification.txt	7fa4e874f00e3114c418df97829df747	50090	live
7a62dc7a-ca79-4976-b5d9-0c7aff6503ee	mirnas.quantification.txt	f2ee0cd65f009e3a33dcdc3b12012513	50395	live
48eed0d3-1c68-438f-98df-c94c0e95d6f6	mirnas.quantification.txt	530ea4e1739d7d16b0f88fdb4245c64d	50214	live
160bd487-a7bc-4aa9-8e9a-e4b4de6b017b	mirnas.quantification.txt	6f1135a5d1937cb04b42ba6e0162524c	50198	live
56958fcc-a2be-4530-8f94-50c7eabf84e6	mirnas.quantification.txt	588956b017750021b4acf59e60065118	50276	live
f0b7b645-415b-44f4-b8e1-128e2f56436f	mirnas.quantification.txt	4bdcb0d88322cab0edd6029752ee8410	50348	live
3949ff4f-6e5a-4b4d-a55f-fa8dd19a9c3f	mirnas.quantification.txt	22b828d177a2ad12a3534a9f6886d69a	50296	live
3dd34dd6-00d0-477f-a787-b70ea574831a	mirnas.quantification.txt	fb779b3e57ab45c7a1f90d34d48c62ac	50273	live
cf4e7e3f-e0c8-4531-8481-399f1c7a95f2	mirnas.quantification.txt	b4bf735788c469f91ceb7068e0ee5729	50201	live
8f6ce3fc-eff9-47df-b503-a03753fa8f9d	mirnas.quantification.txt	1ce607b2be4408172098cfd1d23e346f	50251	live
