Upregulated_miR,Significance,Coverage,Mean_Fold_change,Mean_Tumor_Reads_per_million,Mean_Normal_Reads_per_million
hsa-mir-542,<0.001,80.8,20.5645047121056,176.947310285714,4.36963675
hsa-mir-203b,<0.001,79.2,31.2346084729166,238.162193174757,3.80041275
hsa-mir-19b-1,<0.001,76.9,47.1961904820085,144.24150303,1.722692
hsa-mir-19b-2,<0.001,67.7,43.1930300306902,138.349298840909,1.37597675
hsa-mir-452,<0.001,50.8,17.8884797500672,179.085878424243,5.43272
hsa-mir-135b,<0.001,44.6,207.581932426596,184.520319793104,0.129476375
hsa-mir-577,<0.001,37.7,97.2622127989243,257.91614877551,0.630585
hsa-mir-144,<0.001,30,21.0399352572166,126.198787461538,1.881474125
hsa-mir-19a,<0.001,27.7,123078.178995081,136.296203055556,0
hsa-mir-708,<0.001,21.5,26.9292127209294,116.630460714286,1.42991575
hsa-mir-98,<0.001,19.2,16.4615953764303,98.19337708,3.3983145
hsa-mir-153-2,<0.001,18.5,33.7996011232765,128.109499666667,0.86446
