Upregulated_miR,Significance,Coverage,Mean_Fold_change,Mean_Tumor_Reads_per_million,Mean_Normal_Reads_per_million
hsa-mir-542,<0.001,81.6,17.1764661098327,137.79708166129,4.36963675
hsa-mir-203b,<0.001,78.9,39.5887257559295,297.385096633333,3.80041275
hsa-mir-19b-1,<0.001,69.7,55.8984591831565,172.973583339623,1.722692
hsa-mir-19b-2,<0.001,67.1,47.9855648578104,156.249586333333,1.37597675
hsa-mir-577,<0.001,56.6,81.631961775075,211.207540930233,0.630585
hsa-mir-452,<0.001,47.4,16.6057693547195,168.480359055556,5.43272
hsa-mir-144,<0.001,43.4,22.5569726896135,128.080001878788,1.881474125
hsa-mir-135b,<0.001,39.5,211.739687609148,172.750893966667,0.129476375
hsa-mir-19a,<0.001,36.8,128847.917000561,140.123506607143,0
hsa-mir-708,<0.001,18.4,23.2894567579304,97.8301664285714,1.42991575
hsa-mir-153-2,<0.001,15.8,31.7073604284942,118.471592833333,0.86446
hsa-mir-98,<0.001,15.8,14.2080308898199,83.0677035833333,3.3983145
hsa-mir-136,<0.001,13.2,17.0394827095947,84.3765868,2.010426
hsa-mir-660,<0.001,13.2,14.2402351941278,123.6399164,4.689253625
